,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1805,Capasso,112913,Vasco,ZAG,-0.09999999999999994,1.225,Grêmio,mandante,4.142857142857143,2.021428571428572
1806,Luciano Castán,68942,Cruzeiro,ZAG,2.5375,3.225,Botafogo,mandante,1.5,2.01875
1807,Yago Felipe,87747,Bahia,MEI,1.15,1.975,América-MG,mandante,2.875,2.0125
1808,Sandry,104580,Santos,MEI,0.9333333333333332,-0.09999999999999998,Athletico-PR,mandante,3.025,1.9791666666666665
1809,John Kennedy,110759,Fluminense,ATA,0.3499999999999999,4.185714285714285,Palmeiras,mandante,3.5555555555555554,1.9527777777777777
1810,Daniel,93791,Bahia,MEI,0.9666666666666667,0.4666666666666666,América-MG,mandante,2.875,1.9208333333333334
1811,Vinicius Mingotti,105909,Bahia,ATA,0.925,2.466666666666667,América-MG,mandante,2.875,1.9
1812,Rafael Bilu,103576,Cruzeiro,ATA,2.25,1.9,Botafogo,mandante,1.5,1.875
1813,Rwan,115404,Vasco,ATA,-0.6,3.5,Grêmio,mandante,4.142857142857143,1.7714285714285716
1814,Isidro Pitta,108133,Cuiabá,ATA,2.2,0.2222222222222222,Flamengo,mandante,1.3333333333333333,1.7666666666666666
1815,Wallisson,101405,Cruzeiro,MEI,2.0142857142857142,3.525,Botafogo,mandante,1.5,1.7571428571428571
1816,Robert,125050,Cruzeiro,ATA,2.0,-0.3,Botafogo,mandante,1.5,1.75
1817,Iury Castilho,89695,Cuiabá,ATA,2.1166666666666667,1.4999999999999998,Flamengo,mandante,1.3333333333333333,1.725
1818,Lucas Mugni,81121,Bahia,MEI,0.5666666666666667,2.95,América-MG,mandante,2.875,1.7208333333333332
1819,Gilberto,61188,Cruzeiro,ATA,1.8666666666666667,6.466666666666668,Botafogo,mandante,1.5,1.6833333333333333
1820,Luan Dias,107416,Santos,MEI,0.07999999999999999,2.25,Athletico-PR,mandante,3.025,1.5525
1821,Lucas Mineiro,90634,Cuiabá,MEI,1.7,0.9,Flamengo,mandante,1.3333333333333333,1.5166666666666666
1822,Bruno Mezenga,37865,Santos,ATA,-0.025000000000000022,0.7499999999999999,Athletico-PR,mandante,3.025,1.5
1823,Alex,101600,Santos,ZAG,-0.1,3.6,Athletico-PR,mandante,3.025,1.4625
1824,Marcos Vinícius,97969,Coritiba,LAT,-1.0,0.9500000000000001,Bragantino,mandante,3.875,1.4375
1825,Leo Fernández,111017,Fluminense,MEI,-0.75,2.4,Palmeiras,mandante,3.5555555555555554,1.4027777777777777
1826,Gabriel Barros,108352,Internacional,ATA,-1.3,0.0,Corinthians,mandante,4.077777777777778,1.3888888888888893
1827,Vinícius Balieiro,110605,Santos,MEI,-0.3,0.2,Athletico-PR,mandante,3.025,1.3625
1828,Walter,51413,Cuiabá,GOL,1.375,4.444444444444445,Flamengo,mandante,1.3333333333333333,1.3541666666666665
1829,Ian Luccas,109412,Cruzeiro,MEI,1.2,0.0,Botafogo,mandante,1.5,1.35
1830,Igor Formiga,106708,Cruzeiro,LAT,1.2,4.45,Botafogo,mandante,1.5,1.35
1831,Emerson Ramon,112370,Cuiabá,ATA,1.366666666666667,2.6,Flamengo,mandante,1.3333333333333333,1.35
1832,Ronald Lopes,100969,Cuiabá,MEI,1.3375000000000001,2.4166666666666665,Flamengo,mandante,1.3333333333333333,1.3354166666666667
1833,Vitão,121779,Cuiabá,ZAG,0.0,0.0,Flamengo,mandante,1.3333333333333333,1.3333333333333333
1834,Uendel,60852,Cuiabá,LAT,0.0,0.0,Flamengo,mandante,1.3333333333333333,1.3333333333333333
1835,Stênio,107052,Cruzeiro,ATA,1.1333333333333333,0.9800000000000001,Botafogo,mandante,1.5,1.3166666666666667
1836,Paulo Vitor,99588,Cruzeiro,ATA,1.1,1.2,Botafogo,mandante,1.5,1.3
1837,Pedro Rangel,110708,Fluminense,GOL,-1.0,0.0,Palmeiras,mandante,3.5555555555555554,1.2777777777777777
1838,Wellington Silva,68895,Cuiabá,ATA,1.2142857142857142,2.7750000000000004,Flamengo,mandante,1.3333333333333333,1.2738095238095237
1839,Giovanni Manson,121985,Fluminense,MEI,-1.1,0.5,Palmeiras,mandante,3.5555555555555554,1.2277777777777776
1840,Matheus Jussa,91689,Cruzeiro,MEI,0.9,0.6333333333333334,Botafogo,mandante,1.5,1.2
1841,Henrique Dourado,81905,Cruzeiro,ATA,0.8285714285714285,3.7249999999999996,Botafogo,mandante,1.5,1.1642857142857141
