,apelido,atleta_id,clube,posicao,media_casa,media_fora
44,Bruno Fuchs,104085,Atlético-MG,ZAG,5.0,3.7
45,Bruno Gomes,106202,Coritiba,MEI,5.3,2.475
46,Bruno Henrique,90285,Flamengo,ATA,5.550000000000001,1.2
47,Bruno Melo,84339,Goiás,ZAG,3.525,5.6499999999999995
48,Bruno Mezenga,37865,Santos,ATA,1.3,1.2
49,Bruno Méndez,103700,Corinthians,ZAG,2.2,1.3333333333333333
50,Bruno Pacheco,90061,Fortaleza,LAT,10.299999999999999,4.533333333333333
51,Bruno Rodrigues,92811,Cruzeiro,ATA,2.9250000000000003,10.666666666666666
52,Bruno Santos,122668,Goiás,LAT,0.7999999999999999,-0.95
53,Bruno Tabata,107174,Palmeiras,MEI,0.7666666666666666,0.0
54,Bruno Uvini,70221,Grêmio,ZAG,0.7333333333333334,3.533333333333333
55,Bruno Viana,92291,Coritiba,ZAG,1.0,0.6
56,Bryan García,110013,Athletico-PR,MEI,0.0,0.0
57,Brítez,101995,Fortaleza,ZAG,4.733333333333333,2.5
58,Bustos,96678,Internacional,LAT,0.5,3.233333333333333
59,Caio Alexandre,106323,Fortaleza,MEI,2.033333333333333,5.1
60,Caio Paulista,102318,São Paulo,LAT,5.325,4.1000000000000005
61,Calebe,109461,Fortaleza,MEI,2.6666666666666665,3.75
62,Calleri,89840,São Paulo,ATA,5.4750000000000005,3.1666666666666665
63,Camacho,68770,Santos,MEI,1.1,1.633333333333333
64,Cano,79631,Fluminense,ATA,3.9666666666666663,4.95
65,Canobbio,102928,Athletico-PR,ATA,6.625,4.666666666666666
66,Capasso,112913,Vasco,ZAG,1.1,1.55
67,Carballo,91254,Grêmio,MEI,1.2999999999999998,-0.3
68,Carlos de Pena,87242,Internacional,MEI,2.15,2.725
69,Cauly,123360,Bahia,MEI,4.45,2.066666666666667
70,Ceballos,115502,Fortaleza,ZAG,6.2,3.0500000000000003
71,Ceppelini,72762,Cuiabá,MEI,1.1,1.3
72,Chancellor,93166,Coritiba,ZAG,1.3,-0.3
73,Christian,104502,Athletico-PR,MEI,3.225,9.95
74,Cicinho,61106,Bahia,LAT,4.8,4.45
75,Cleiton,93882,Bragantino,GOL,4.566666666666666,2.0
76,Cristaldo,89846,Grêmio,MEI,8.825,5.9
77,Cuello,98909,Athletico-PR,ATA,3.5,2.2
78,Cuiabano,116065,Grêmio,LAT,3.2,6.35
79,Cássio,42234,Corinthians,GOL,2.25,0.5
80,Daniel,93791,Bahia,MEI,0.5,0.0
81,Daniel Junior,116432,Cruzeiro,MEI,0.6666666666666666,0.0
82,Daniel Ruiz,116672,Santos,MEI,0.2333333333333333,1.0
83,Danilo Avelar,72142,América-MG,ZAG,5.85,2.2
