,apelido,atleta_id,clube,posicao,media_casa,media_fora
475,Yago Pikachu,80196,Fortaleza,MEI,2.1999999999999997,4.35
476,Yuri Alberto,100652,Corinthians,ATA,3.9666666666666663,1.0
477,Zaracho,100079,Atlético-MG,MEI,3.6333333333333333,2.8249999999999997
478,Zinho,123153,Grêmio,ATA,3.466666666666667,0.7666666666666666
479,Zé Ivaldo,91866,Athletico-PR,ZAG,2.5,0.15000000000000002
480,Zé Rafael,82455,Palmeiras,MEI,4.833333333333333,3.733333333333333
481,Zé Ricardo,102911,Goiás,MEI,5.233333333333333,3.6
482,Zé Roberto,80076,Coritiba,ATA,3.55,2.6999999999999997
483,Ángel Romero,88323,Corinthians,ATA,1.7,0.1
484,Ângelo,110415,Santos,ATA,3.95,4.6000000000000005
485,Éder,91203,América-MG,ZAG,1.05,0.6333333333333333
