,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1370,Mayke,81150,Palmeiras,LAT,2.425,0.0,Atlético-MG,mandante,2.25,2.3375
1371,Léo Rafael,107344,Ceará,MEI,-0.1,0.0,Coritiba,mandante,4.75,2.325
1372,Capixaba,94894,Juventude,ATA,3.6500000000000004,1.0,Fluminense,mandante,1.0,2.325
1373,Léo Pereira,106681,Atlético-GO,ATA,1.8333333333333333,4.725,Corinthians,mandante,2.75,2.2916666666666665
1374,Cléber,104125,Ceará,ATA,-0.2,4.6,Coritiba,mandante,4.75,2.275
1375,Baralhas,99440,Atlético-GO,MEI,1.8,4.375,Corinthians,mandante,2.75,2.275
1376,Juninho,82381,América-MG,MEI,2.85,1.5499999999999998,Cuiabá,mandante,1.625,2.2375
1377,Conti,100943,América-MG,ZAG,2.85,2.45,Cuiabá,mandante,1.625,2.2375
1378,Marlon ,86864,América-MG,LAT,2.8,1.5666666666666664,Cuiabá,mandante,1.625,2.2125
1379,Michel,80664,Ceará,LAT,-0.4,4.5,Coritiba,mandante,4.75,2.175
1380,Vitor Mendes,104401,Juventude,ZAG,3.3333333333333335,6.65,Fluminense,mandante,1.0,2.166666666666667
1381,Rafael Navarro,105770,Palmeiras,ATA,2.05,3.4333333333333336,Atlético-MG,mandante,2.25,2.15
1382,Lucas Piazon,74084,Botafogo,MEI,1.3,0.9666666666666667,Goiás,mandante,3.0,2.15
1383,Weverson,109426,Bragantino,LAT,1.0,0.0,Internacional,mandante,3.25,2.125
1384,Matheus Ribeiro,82943,Avaí,LAT,0.8,0.0,São Paulo,mandante,3.25,2.025
1385,Kelvyn,102464,Ceará,LAT,-0.7,0.0,Coritiba,mandante,4.75,2.025
1386,Matheus França,115100,Flamengo,MEI,-0.7,0.0,Fortaleza,mandante,4.666666666666667,1.9833333333333334
1387,Rômulo ,89696,Avaí,ATA,0.6666666666666666,1.65,São Paulo,mandante,3.25,1.9583333333333333
