,apelido,atleta_id,clube,posicao,media_casa,media_fora
165,Hulk,39148,Atlético-MG,ATA,8.633333333333333,1.1666666666666667
166,Hurtado,105301,Bragantino,ATA,0.7000000000000001,5.3
167,Hyoran,85931,Atlético-MG,MEI,1.0,0.7
168,Ignácio,103523,Chapecoense,ZAG,4.2,4.0
169,Igor,106930,Ceará,LAT,2.2499999999999996,3.0500000000000003
170,Igor Cariús,91639,Atlético-GO,LAT,7.600000000000001,2.3333333333333335
171,Igor Gomes,100084,São Paulo,MEI,2.8333333333333335,2.55
172,Igor Vinícius,95466,São Paulo,LAT,5.4,3.7000000000000006
173,Isla,69345,Flamengo,LAT,6.1,0.0
174,Jackson,70934,Fortaleza,ZAG,0.7,5.3
175,Jader,114335,Athlético-PR,ATA,0.30000000000000004,0.85
176,Jaderson,98224,Athlético-PR,MEI,0.7999999999999999,-0.2
177,Jadsom Silva,103695,Bragantino,MEI,0.09999999999999998,2.4499999999999997
178,Jadson,80129,Juventude,MEI,1.35,2.35
179,Jael,60859,Ceará,ATA,1.125,0.35
180,Jair,81091,Atlético-MG,MEI,6.25,5.3
181,Jair Ventura,92180,Juventude,TEC,3.8625,6.05
182,Janderson,97245,Atlético-GO,ATA,11.35,0.7333333333333334
183,Jean Mota,78548,Santos,MEI,-6.0,0.0
184,Jean Pyerre,98832,Grêmio,MEI,1.0666666666666667,1.0999999999999999
185,Jefferson,95220,Atlético-GO,LAT,1.9999999999999998,2.7
186,Jenison,71505,Cuiabá,ATA,0.65,1.425
187,Jhonata Robert,106371,Grêmio,MEI,5.1,0.0
188,John Kennedy,110759,Fluminense,ATA,8.266666666666667,-0.35
189,Johnny,106002,Internacional,MEI,-0.55,1.3000000000000003
190,Jonathan Cafu,78580,Cuiabá,ATA,1.0,0.8000000000000002
191,Jordan,99151,Chapecoense,ZAG,0.44999999999999996,0.15000000000000002
192,Jorge,88065,Palmeiras,LAT,-0.4,0.0
193,Jorginho,70323,Cuiabá,TEC,5.585,2.755
194,José Welison,86859,Sport,MEI,5.475,1.4333333333333336
195,João Lucas,104257,Cuiabá,LAT,7.9,0.4666666666666668
196,João Paulo,71602,América-MG,LAT,4.0,2.8000000000000003
197,João Paulo,85425,Santos,GOL,5.25,8.0
198,João Paulo,86770,Atlético-GO,MEI,0.1666666666666667,0.6
199,João Ricardo,81881,Ceará,GOL,6.0,6.833333333333333
200,João Victor,104250,Corinthians,ZAG,5.866666666666667,1.5999999999999999
201,Joílson,80779,Chapecoense,ZAG,0.3333333333333333,0.8
202,Juan Ramírez,97062,Bahia,MEI,-0.7,-1.2
203,Juan Vojvoda,104754,Fortaleza,TEC,4.006666666666667,1.7974999999999999
204,Juninho,82381,América-MG,MEI,5.15,2.1999999999999997
205,Juninho,114444,Athlético-PR,MEI,0.1,0.0
206,Juninho Capixaba,94968,Bahia,LAT,5.95,6.624999999999999
207,Juninho Valoura,71937,América-MG,MEI,0.16666666666666666,4.85
208,Junior Alonso,88312,Atlético-MG,ZAG,3.9,3.9
209,Jô,38138,Corinthians,ATA,1.9333333333333333,0.275
210,Kaiky,111637,Santos,ZAG,5.5,1.1
211,Kaio Nunes,102563,Chapecoense,ATA,7.05,0.9333333333333332
212,Kannemann,87342,Grêmio,ZAG,0.8333333333333334,1.95
213,Kaíque Rocha,103684,Internacional,ZAG,1.0,-2.3
214,Keiller,93834,Chapecoense,GOL,2.1666666666666665,0.5
215,Kelvyn,102464,Ceará,LAT,0.7,0.0
216,Kenedy,84791,Flamengo,ATA,1.6666666666666667,0.10000000000000003
217,Keno,86485,Atlético-MG,ATA,9.65,3.6666666666666665
218,Khellven ,105175,Athlético-PR,LAT,1.7999999999999998,3.6
219,Kuscevic,98619,Palmeiras,ZAG,4.9,1.3
220,Leandro Barcia,91242,Sport,ATA,0.0,8.9
221,Lima,94288,Chapecoense,MEI,0.4,0.8999999999999999
222,Lima,96340,Ceará,MEI,1.6666666666666667,6.366666666666666
223,Liziero,100761,São Paulo,MEI,2.033333333333333,-1.65
224,Luan,80692,Palmeiras,ZAG,5.566666666666667,2.2333333333333334
225,Luan,86759,Corinthians,MEI,0.7,0.9
226,Luan Cândido,100848,Bragantino,LAT,11.7,2.2
227,Lucas Braga,99119,Santos,ATA,4.6000000000000005,3.2
228,Lucas Crispim,88597,Fortaleza,MEI,2.8,-0.8
229,Lucas Fasson,106823,Athlético-PR,ZAG,0.7,1.5
230,Lucas Kal,95662,América-MG,ZAG,4.375,1.7666666666666666
231,Lucas Lima,80583,Fortaleza,MEI,7.500000000000001,-1.0
232,Lucas Mugni,81121,Bahia,MEI,1.2,1.5666666666666667
233,Lucas Piton,105584,Corinthians,LAT,4.1,0.0
234,Lucas Silva,79701,Grêmio,MEI,2.6,4.949999999999999
235,Lucca,61149,Fluminense,ATA,2.7999999999999994,0.8333333333333334
236,Luccas Claro,73465,Fluminense,ZAG,0.45,0.0
237,Luciano,80287,São Paulo,ATA,2.533333333333333,4.6000000000000005
238,Luciano,114888,Bragantino,MEI,-0.3,-0.16666666666666666
239,Luciano Juba,107093,Sport,LAT,5.8,1.5
240,Lucão,111695,Atlético-GO,ATA,-2.0,0.0
241,Luiz Adriano,72772,Palmeiras,ATA,4.6,0.0
242,Luiz Felipe,79035,Santos,ZAG,5.550000000000001,6.4
243,Luiz Henrique,109282,Fluminense,ATA,6.199999999999999,1.2
244,Luiz Otávio,72359,Ceará,ZAG,3.1,6.25
245,Luiz Otávio ,86863,Bahia,ZAG,9.3,2.9499999999999997
246,Luizão,114357,Bahia,MEI,3.2,0.0
247,Léo,85626,São Paulo,LAT,6.1,1.133333333333333
248,Léo Cittadini,70986,Athlético-PR,MEI,-0.7,-1.4
249,Léo Ortiz,97867,Bragantino,ZAG,6.9,6.0
250,Léo Passos,99878,América-MG,ATA,0.0,0.0
251,Léo Pereira,83528,Flamengo,ZAG,7.533333333333334,0.0
252,Madson,78077,Santos,LAT,2.9333333333333336,7.833333333333333
253,Mancha,111279,Chapecoense,LAT,0.9,0.0
